Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Araponga (MG);(MG);Araponga;310370;0,536;0,597;0,76;0,339
Arapongas (PR);(PR);Arapongas;410150;0,748;0,751;0,834;0,669
Araporã (MG);(MG);Araporã;#N/D;0,708;0,676;0,813;0,646
Arapoti (PR);(PR);Arapoti;410160;0,723;0,715;0,823;0,643
Arapuá (MG);(MG);Arapuá;#N/D;0,724;0,718;0,871;0,608
Arapuã (PR);(PR);Arapuã;#N/D;0,676;0,638;0,828;0,584
Araputanga (MT);(MT);Araputanga;510125;0,725;0,704;0,826;0,655
Araquari (SC);(SC);Araquari;420130;0,703;0,696;0,83;0,602
Araranguá (SC);(SC);Araranguá;#N/D;0,76;0,745;0,853;0,691
Arara (PB);(PB);Arara;250090;0,548;0,569;0,712;0,407
Araraquara (SP);(SP);Araraquara;350320;0,815;0,788;0,877;0,782
Araras (SP);(SP);Araras;350330;0,781;0,763;0,859;0,728
Ararendá (CE);(CE);Ararendá;#N/D;0,59;0,522;0,763;0,516
Araricá (RS);(RS);Araricá;#N/D;0,679;0,696;0,824;0,547
Arari (MA);(MA);Arari;210100;0,626;0,587;0,764;0,546
Araripe (CE);(CE);Araripe;230130;0,564;0,515;0,759;0,459
Araripina (PE);(PE);Araripina;260110;0,602;0,595;0,785;0,467
Araruama (RJ);(RJ);Araruama;330020;0,718;0,714;0,839;0,617
Araruna (PB);(PB);Araruna;250100;0,567;0,549;0,758;0,439
Araruna (PR);(PR);Araruna;410170;0,704;0,685;0,785;0,648
Arataca (BA);(BA);Arataca;#N/D;0,559;0,557;0,758;0,413
Aratiba (RS);(RS);Aratiba;430090;0,772;0,801;0,856;0,67
Aratuba (CE);(CE);Aratuba;230140;0,622;0,53;0,775;0,587
Aratuípe (BA);(BA);Aratuípe;#N/D;0,575;0,57;0,753;0,443
Arauá (SE);(SE);Arauá;#N/D;0,595;0,55;0,783;0,49
Araucária (PR);(PR);Araucária;#N/D;0,74;0,743;0,852;0,639
Araújos (MG);(MG);Araújos;#N/D;0,698;0,694;0,855;0,574
Araxá (MG);(MG);Araxá;#N/D;0,772;0,756;0,858;0,709
Arceburgo (MG);(MG);Arceburgo;310410;0,683;0,687;0,81;0,573
Arco-Íris (SP);(SP);Arco-Íris;#N/D;0,722;0,671;0,809;0,694
Arcos (MG);(MG);Arcos;310420;0,749;0,717;0,874;0,671
Arcoverde (PE);(PE);Arcoverde;260120;0,667;0,654;0,799;0,567
Areado (MG);(MG);Areado;310430;0,727;0,7;0,847;0,649
Areal (RJ);(RJ);Areal;330022;0,684;0,686;0,823;0,566
Arealva (SP);(SP);Arealva;350340;0,744;0,718;0,84;0,683
Areia Branca (RN);(RN);Areia Branca;#N/D;0,682;0,647;0,79;0,621
Areia Branca (SE);(SE);Areia Branca;#N/D;0,579;0,579;0,773;0,434
Areia de Baraúnas (PB);(PB);Areia de Baraúnas;#N/D;0,562;0,566;0,68;0,462
Areial (PB);(PB);Areial;250120;0,608;0,573;0,779;0,503
Areia (PB);(PB);Areia;250110;0,594;0,593;0,756;0,467
Areias (SP);(SP);Areias;350350;0,697;0,627;0,803;0,672
Areiópolis (SP);(SP);Areiópolis;#N/D;0,695;0,686;0,823;0,594
Arenápolis (MT);(MT);Arenápolis;#N/D;0,704;0,677;0,793;0,649
Arenópolis (GO);(GO);Arenópolis;#N/D;0,687;0,674;0,826;0,582
Arês (RN);(RN);Arês;#N/D;0,606;0,587;0,725;0,523
Argirita (MG);(MG);Argirita;310440;0,643;0,645;0,817;0,505
Aricanduva (MG);(MG);Aricanduva;#N/D;0,582;0,553;0,787;0,454
Arinos (MG);(MG);Arinos;310450;0,656;0,607;0,815;0,57
Aripuanã (MT);(MT);Aripuanã;#N/D;0,675;0,682;0,816;0,553
Ariquemes (RO);(RO);Ariquemes;110002;0,702;0,716;0,806;0,6
Ariranha do Ivaí (PR);(PR);Ariranha do Ivaí;#N/D;0,67;0,637;0,794;0,594
Ariranha (SP);(SP);Ariranha;350370;0,733;0,73;0,813;0,663
Armação dos Búzios (RJ);(RJ);Armação dos Búzios;#N/D;0,728;0,75;0,824;0,624
Armazém (SC);(SC);Armazém;#N/D;0,77;0,743;0,882;0,698
Arneiroz (CE);(CE);Arneiroz;230150;0,618;0,565;0,74;0,564
Aroazes (PI);(PI);Aroazes;#N/D;0,583;0,563;0,752;0,468
Aroeiras do Itaim (PI);(PI);Aroeiras do Itaim;220095;0,519;0,502;0,738;0,378
Aroeiras (PB);(PB);Aroeiras;250130;0,548;0,537;0,745;0,411
Arraial do Cabo (RJ);(RJ);Arraial do Cabo;330025;0,733;0,722;0,805;0,677
Arraial (PI);(PI);Arraial;220100;0,56;0,514;0,761;0,449
Arraias (TO);(TO);Arraias;170240;0,651;0,636;0,829;0,523
Arroio do Meio (RS);(RS);Arroio do Meio;430100;0,769;0,75;0,86;0,706
Arroio do Padre (RS);(RS);Arroio do Padre;#N/D;0,669;0,756;0,86;0,461
Arroio do Sal (RS);(RS);Arroio do Sal;430105;0,74;0,74;0,844;0,649
Arroio dos Ratos (RS);(RS);Arroio dos Ratos;430110;0,698;0,7;0,833;0,583
Arroio do Tigre (RS);(RS);Arroio do Tigre;430120;0,707;0,708;0,848;0,589
Arroio Grande (RS);(RS);Arroio Grande;430130;0,657;0,673;0,807;0,522
Arroio Trinta (SC);(SC);Arroio Trinta;420160;0,764;0,781;0,873;0,653
Artur Nogueira (SP);(SP);Artur Nogueira;350380;0,749;0,745;0,827;0,681
Aruanã (GO);(GO);Aruanã;#N/D;0,675;0,708;0,826;0,526
Arujá (SP);(SP);Arujá;#N/D;0,784;0,761;0,866;0,73
Arvoredo (SC);(SC);Arvoredo;420165;0,715;0,713;0,842;0,61
Arvorezinha (RS);(RS);Arvorezinha;#N/D;0,694;0,713;0,817;0,575
Ascurra (SC);(SC);Ascurra;420170;0,742;0,739;0,868;0,636
Aspásia (SP);(SP);Aspásia;#N/D;0,735;0,699;0,864;0,657
Assaí (PR);(PR);Assaí;#N/D;0,728;0,724;0,833;0,641
Assaré (CE);(CE);Assaré;#N/D;0,6;0,573;0,783;0,482
Assis Brasil (AC);(AC);Assis Brasil;120005;0,588;0,578;0,77;0,456
Assis Chateaubriand (PR);(PR);Assis Chateaubriand;410200;0,729;0,713;0,857;0,633
Assis (SP);(SP);Assis;350400;0,805;0,771;0,865;0,781
Assunção do Piauí (PI);(PI);Assunção do Piauí;#N/D;0,499;0,462;0,706;0,382
Assunção (PB);(PB);Assunção;#N/D;0,609;0,601;0,738;0,51
Astolfo Dutra (MG);(MG);Astolfo Dutra;310460;0,694;0,686;0,858;0,567
Astorga (PR);(PR);Astorga;410210;0,747;0,754;0,818;0,675
Atalaia (AL);(AL);Atalaia;270040;0,561;0,545;0,752;0,431
Atalaia do Norte (AM);(AM);Atalaia do Norte;130020;0,45;0,481;0,733;0,259
Atalaia (PR);(PR);Atalaia;410220;0,736;0,707;0,854;0,66
Atalanta (SC);(SC);Atalanta;#N/D;0,733;0,736;0,802;0,668
Ataléia (MG);(MG);Ataléia;#N/D;0,588;0,592;0,813;0,423
Atibaia (SP);(SP);Atibaia;350410;0,765;0,786;0,851;0,67
Atilio Vivacqua (ES);(ES);Atilio Vivacqua;#N/D;0,708;0,663;0,841;0,637
Augustinópolis (TO);(TO);Augustinópolis;#N/D;0,67;0,614;0,793;0,619
Augusto Corrêa (PA);(PA);Augusto Corrêa;#N/D;0,52;0,48;0,772;0,38
Augusto de Lima (MG);(MG);Augusto de Lima;310480;0,656;0,622;0,815;0,557
Augusto Pestana (RS);(RS);Augusto Pestana;430150;0,743;0,779;0,847;0,621
Augusto Severo (RN);(RN);Augusto Severo;#N/D;0,621;0,624;0,774;0,495
Áurea (RS);(RS);Áurea;#N/D;0,707;0,715;0,841;0,588
Aurelino Leal (BA);(BA);Aurelino Leal;#N/D;0,568;0,555;0,759;0,434
Auriflama (SP);(SP);Auriflama;350420;0,773;0,746;0,84;0,738
Aurilândia (GO);(GO);Aurilândia;#N/D;0,7;0,661;0,836;0,62
Aurora (CE);(CE);Aurora;230170;0,605;0,557;0,764;0,521
Aurora do Pará (PA);(PA);Aurora do Pará;#N/D;0,519;0,504;0,773;0,358
Aurora do Tocantins (TO);(TO);Aurora do Tocantins;#N/D;0,677;0,676;0,804;0,57
Aurora (SC);(SC);Aurora;420190;0,733;0,748;0,87;0,606
Autazes (AM);(AM);Autazes;130030;0,577;0,539;0,799;0,446
Avaí (SP);(SP);Avaí;#N/D;0,714;0,674;0,83;0,65
Avanhandava (SP);(SP);Avanhandava;350440;0,705;0,688;0,817;0,623
Avaré (SP);(SP);Avaré;#N/D;0,767;0,751;0,866;0,695
Aveiro (PA);(PA);Aveiro;150100;0,541;0,47;0,748;0,45
Avelino Lopes (PI);(PI);Avelino Lopes;#N/D;0,554;0,532;0,722;0,442
Avelinópolis (GO);(GO);Avelinópolis;#N/D;0,66;0,682;0,828;0,508
Axixá do Tocantins (TO);(TO);Axixá do Tocantins;#N/D;0,627;0,595;0,733;0,566
Axixá (MA);(MA);Axixá;#N/D;0,641;0,535;0,776;0,634
Babaçulândia (TO);(TO);Babaçulândia;#N/D;0,642;0,589;0,792;0,568
Bacabal (MA);(MA);Bacabal;210120;0,651;0,619;0,753;0,591
Bacabeira (MA);(MA);Bacabeira;210125;0,629;0,558;0,768;0,58
Bacuri (MA);(MA);Bacuri;210130;0,578;0,54;0,737;0,484
Bacurituba (MA);(MA);Bacurituba;#N/D;0,537;0,474;0,681;0,479
Bady Bassitt (SP);(SP);Bady Bassitt;350460;0,746;0,737;0,805;0,701
Baependi (MG);(MG);Baependi;310490;0,681;0,664;0,833;0,57
Bagé (RS);(RS);Bagé;#N/D;0,74;0,739;0,848;0,647
Bagre (PA);(PA);Bagre;#N/D;0,471;0,481;0,777;0,28
Baía da Traição (PB);(PB);Baía da Traição;#N/D;0,581;0,541;0,731;0,495
Baía Formosa (RN);(RN);Baía Formosa;#N/D;0,609;0,59;0,718;0,534
Baianópolis (BA);(BA);Baianópolis;#N/D;0,589;0,543;0,763;0,492
Baião (PA);(PA);Baião;#N/D;0,578;0,538;0,77;0,467
Baixa Grande (BA);(BA);Baixa Grande;290260;0,585;0,549;0,775;0,471
Baixa Grande do Ribeiro (PI);(PI);Baixa Grande do Ribeiro;220115;0,564;0,537;0,751;0,446
Baixio (CE);(CE);Baixio;#N/D;0,627;0,563;0,763;0,575
Baixo Guandu (ES);(ES);Baixo Guandu;320080;0,702;0,67;0,811;0,637
Balbinos (SP);(SP);Balbinos;350470;0,669;0,69;0,809;0,537
Baldim (MG);(MG);Baldim;310500;0,671;0,65;0,787;0,59
Baliza (GO);(GO);Baliza;520310;0,655;0,614;0,819;0,558
Balneário Arroio do Silva (SC);(SC);Balneário Arroio do Silva;#N/D;0,746;0,753;0,858;0,642
Balneário Barra do Sul (SC);(SC);Balneário Barra do Sul;#N/D;0,716;0,713;0,844;0,611
Balneário Camboriú (SC);(SC);Balneário Camboriú;#N/D;0,845;0,854;0,894;0,789
Balneário Gaivota (SC);(SC);Balneário Gaivota;#N/D;0,728;0,734;0,844;0,622
Balneário Piçarras (SC);(SC);Balneário Piçarras;#N/D;0,756;0,745;0,869;0,668
Balneário Pinhal (RS);(RS);Balneário Pinhal;#N/D;0,696;0,71;0,836;0,567
Bálsamo (SP);(SP);Bálsamo;#N/D;0,756;0,746;0,835;0,695
Balsa Nova (PR);(PR);Balsa Nova;#N/D;0,696;0,707;0,823;0,579
Balsas (MA);(MA);Balsas;210140;0,687;0,674;0,807;0,597
Bambuí (MG);(MG);Bambuí;#N/D;0,741;0,735;0,87;0,636
Banabuiú (CE);(CE);Banabuiú;#N/D;0,606;0,54;0,779;0,53
Bananal (SP);(SP);Bananal;350490;0,733;0,693;0,872;0,653
Bananeiras (PB);(PB);Bananeiras;250150;0,568;0,555;0,766;0,43
Bandeira do Sul (MG);(MG);Bandeira do Sul;#N/D;0,692;0,681;0,802;0,608
Bandeira (MG);(MG);Bandeira;#N/D;0,599;0,583;0,811;0,454
Bandeirante (SC);(SC);Bandeirante;420208;0,672;0,675;0,795;0,565
Bandeirantes do Tocantins (TO);(TO);Bandeirantes do Tocantins;170305;0,638;0,57;0,797;0,571
Bandeirantes (MS);(MS);Bandeirantes;500150;0,681;0,694;0,848;0,537
Bandeirantes (PR);(PR);Bandeirantes;410240;0,727;0,714;0,819;0,658
Bannach (PA);(PA);Bannach;150125;0,594;0,635;0,784;0,42
Banzaê (BA);(BA);Banzaê;#N/D;0,579;0,539;0,769;0,468
Barão de Antonina (SP);(SP);Barão de Antonina;#N/D;0,711;0,676;0,82;0,649
Barão de Cocais (MG);(MG);Barão de Cocais;#N/D;0,722;0,679;0,858;0,647
Barão de Cotegipe (RS);(RS);Barão de Cotegipe;#N/D;0,719;0,745;0,842;0,593
Barão de Grajaú (MA);(MA);Barão de Grajaú;#N/D;0,592;0,578;0,743;0,484
Barão de Melgaço (MT);(MT);Barão de Melgaço;#N/D;0,6;0,598;0,82;0,44
Barão de Monte Alto (MG);(MG);Barão de Monte Alto;#N/D;0,649;0,619;0,827;0,533
Barão do Triunfo (RS);(RS);Barão do Triunfo;#N/D;0,61;0,645;0,821;0,428
Barão (RS);(RS);Barão;#N/D;0,748;0,767;0,836;0,652
Baraúna (PB);(PB);Baraúna;#N/D;0,558;0,526;0,718;0,459
Baraúna (RN);(RN);Baraúna;#N/D;0,574;0,562;0,756;0,446
Barbacena (MG);(MG);Barbacena;310560;0,769;0,751;0,881;0,687
Barbalha (CE);(CE);Barbalha;230190;0,683;0,613;0,817;0,637
Barbosa Ferraz (PR);(PR);Barbosa Ferraz;410250;0,696;0,667;0,808;0,625
Barbosa (SP);(SP);Barbosa;350510;0,699;0,676;0,843;0,599
Barcarena (PA);(PA);Barcarena;150130;0,662;0,643;0,801;0,564
Barcelona (RN);(RN);Barcelona;#N/D;0,566;0,564;0,726;0,442
Barcelos (AM);(AM);Barcelos;130040;0,5;0,545;0,728;0,315
Bariri (SP);(SP);Bariri;350520;0,75;0,736;0,867;0,662
Barra (BA);(BA);Barra;290270;0,557;0,503;0,75;0,457
Barra Bonita (SC);(SC);Barra Bonita;420209;0,701;0,692;0,83;0,599
Barra Bonita (SP);(SP);Barra Bonita;350530;0,788;0,762;0,869;0,739
Barracão (PR);(PR);Barracão;#N/D;0,706;0,716;0,833;0,59
Barracão (RS);(RS);Barracão;#N/D;0,71;0,711;0,885;0,568
Barra da Estiva (BA);(BA);Barra da Estiva;290280;0,575;0,566;0,717;0,469
Barra D'Alcântara (PI);(PI);Barra D'Alcântara;#N/D;0,577;0,526;0,777;0,471
Barra de Guabiraba (PE);(PE);Barra de Guabiraba;260130;0,577;0,558;0,726;0,474
Barra de Santana (PB);(PB);Barra de Santana;250157;0,567;0,526;0,747;0,465
Barra de Santa Rosa (PB);(PB);Barra de Santa Rosa;#N/D;0,562;0,542;0,753;0,434
Barra de Santo Antônio (AL);(AL);Barra de Santo Antônio;#N/D;0,557;0,552;0,732;0,428
Barra de São Francisco (ES);(ES);Barra de São Francisco;#N/D;0,683;0,673;0,815;0,58
Barra de São Miguel (AL);(AL);Barra de São Miguel;#N/D;0,615;0,638;0,767;0,475
Barra de São Miguel (PB);(PB);Barra de São Miguel;#N/D;0,572;0,584;0,728;0,44
Barra do Bugres (MT);(MT);Barra do Bugres;510170;0,693;0,684;0,818;0,595
Barra do Chapéu (SP);(SP);Barra do Chapéu;#N/D;0,66;0,617;0,779;0,599
Barra do Choça (BA);(BA);Barra do Choça;#N/D;0,551;0,563;0,77;0,386
Barra do Corda (MA);(MA);Barra do Corda;210160;0,606;0,585;0,763;0,498
Barra do Garças (MT);(MT);Barra do Garças;#N/D;0,748;0,738;0,817;0,693
Barra do Guarita (RS);(RS);Barra do Guarita;#N/D;0,734;0,696;0,845;0,672
Barra do Jacaré (PR);(PR);Barra do Jacaré;#N/D;0,744;0,678;0,813;0,747
Barra do Mendes (BA);(BA);Barra do Mendes;290300;0,63;0,578;0,784;0,553
Barra do Ouro (TO);(TO);Barra do Ouro;#N/D;0,603;0,557;0,76;0,517
Barra do Piraí (RJ);(RJ);Barra do Piraí;#N/D;0,733;0,723;0,819;0,665
Barra do Quaraí (RS);(RS);Barra do Quaraí;#N/D;0,662;0,659;0,802;0,548
Barra do Ribeiro (RS);(RS);Barra do Ribeiro;430190;0,67;0,691;0,822;0,529
Barra do Rio Azul (RS);(RS);Barra do Rio Azul;#N/D;0,723;0,703;0,842;0,638
Barra do Rocha (BA);(BA);Barra do Rocha;290310;0,577;0,585;0,705;0,465
Barra dos Coqueiros (SE);(SE);Barra dos Coqueiros;280060;0,649;0,647;0,776;0,545
Barra do Turvo (SP);(SP);Barra do Turvo;350540;0,641;0,625;0,792;0,532
Barra Funda (RS);(RS);Barra Funda;#N/D;0,763;0,731;0,856;0,71
Barra Longa (MG);(MG);Barra Longa;310570;0,624;0,613;0,823;0,482
Barra Mansa (RJ);(RJ);Barra Mansa;330040;0,729;0,72;0,819;0,657
Barras (PI);(PI);Barras;220120;0,595;0,558;0,779;0,485
Barra Velha (SC);(SC);Barra Velha;420210;0,738;0,735;0,857;0,639
Barreira (CE);(CE);Barreira;230195;0,616;0,551;0,771;0,551
Barreiras (BA);(BA);Barreiras;290320;0,721;0,695;0,807;0,668
Barreiras do Piauí (PI);(PI);Barreiras do Piauí;#N/D;0,557;0,56;0,73;0,423
Barreirinha (AM);(AM);Barreirinha;#N/D;0,574;0,469;0,774;0,522
Barreirinhas (MA);(MA);Barreirinhas;210170;0,57;0,515;0,752;0,479
Barreiros (PE);(PE);Barreiros;260140;0,586;0,561;0,73;0,491
Barretos (SP);(SP);Barretos;350550;0,789;0,762;0,875;0,738
Barrinha (SP);(SP);Barrinha;350560;0,725;0,711;0,829;0,646
Barro Alto (BA);(BA);Barro Alto;290323;0,607;0,551;0,739;0,55
Barro Alto (GO);(GO);Barro Alto;520320;0,742;0,701;0,854;0,682
Barrocas (BA);(BA);Barrocas;290327;0,61;0,574;0,786;0,503
Barro (CE);(CE);Barro;230200;0,599;0,556;0,758;0,51
Barro Duro (PI);(PI);Barro Duro;220140;0,612;0,611;0,729;0,514
Barrolândia (TO);(TO);Barrolândia;#N/D;0,642;0,6;0,817;0,541
Barro Preto (BA);(BA);Barro Preto;290330;0,602;0,576;0,744;0,508
Barroquinha (CE);(CE);Barroquinha;#N/D;0,571;0,512;0,72;0,505
Barros Cassal (RS);(RS);Barros Cassal;430200;0,65;0,69;0,795;0,5
Barroso (MG);(MG);Barroso;#N/D;0,734;0,675;0,864;0,678
Barueri (SP);(SP);Barueri;350570;0,786;0,791;0,866;0,708
Bastos (SP);(SP);Bastos;350580;0,751;0,696;0,848;0,718
Bataguassu (MS);(MS);Bataguassu;500190;0,71;0,698;0,847;0,606
Batalha (AL);(AL);Batalha;270070;0,594;0,563;0,752;0,496
Batalha (PI);(PI);Batalha;220150;0,545;0,54;0,755;0,398
Batatais (SP);(SP);Batatais;350590;0,761;0,766;0,84;0,685
Batayporã (MS);(MS);Batayporã;#N/D;0,684;0,702;0,814;0,559
Baturité (CE);(CE);Baturité;#N/D;0,619;0,574;0,753;0,548
Bauru (SP);(SP);Bauru;350600;0,801;0,8;0,854;0,752
Bayeux (PB);(PB);Bayeux;250180;0,649;0,619;0,779;0,566
Bebedouro (SP);(SP);Bebedouro;350610;0,78;0,756;0,853;0,735
Beberibe (CE);(CE);Beberibe;230220;0,638;0,585;0,778;0,571
Bela Cruz (CE);(CE);Bela Cruz;230230;0,623;0,533;0,76;0,598
Belágua (MA);(MA);Belágua;#N/D;0,512;0,417;0,707;0,455
Bela Vista da Caroba (PR);(PR);Bela Vista da Caroba;410275;0,681;0,667;0,828;0,572
Bela Vista de Goiás (GO);(GO);Bela Vista de Goiás;#N/D;0,716;0,721;0,837;0,607
Bela Vista de Minas (MG);(MG);Bela Vista de Minas;310600;0,674;0,644;0,795;0,597
Bela Vista do Maranhão (MA);(MA);Bela Vista do Maranhão;#N/D;0,554;0,515;0,735;0,45
Bela Vista do Paraíso (PR);(PR);Bela Vista do Paraíso;#N/D;0,716;0,721;0,844;0,604
Bela Vista do Piauí (PI);(PI);Bela Vista do Piauí;#N/D;0,576;0,52;0,709;0,519
Bela Vista do Toldo (SC);(SC);Bela Vista do Toldo;#N/D;0,675;0,624;0,826;0,598
Bela Vista (MS);(MS);Bela Vista;500210;0,698;0,699;0,83;0,585
Belém (AL);(AL);Belém;#N/D;0,593;0,587;0,764;0,464
Belém de Maria (PE);(PE);Belém de Maria;#N/D;0,578;0,537;0,749;0,479
Belém do Brejo do Cruz (PB);(PB);Belém do Brejo do Cruz;#N/D;0,578;0,55;0,779;0,451
Belém do Piauí (PI);(PI);Belém do Piauí;#N/D;0,551;0,537;0,696;0,448
Belém do São Francisco (PE);(PE);Belém do São Francisco;#N/D;0,642;0,611;0,784;0,553
Belém (PA);(PA);Belém;#N/D;0,746;0,751;0,822;0,673
Belém (PB);(PB);Belém;#N/D;0,592;0,557;0,759;0,492
Belford Roxo (RJ);(RJ);Belford Roxo;330045;0,684;0,662;0,808;0,598
Belmiro Braga (MG);(MG);Belmiro Braga;310610;0,66;0,653;0,83;0,531
Belmonte (BA);(BA);Belmonte;290340;0,598;0,577;0,771;0,48
Belmonte (SC);(SC);Belmonte;420215;0,705;0,699;0,82;0,611
Belo Campo (BA);(BA);Belo Campo;290350;0,575;0,562;0,76;0,444
Belo Horizonte (MG);(MG);Belo Horizonte;310620;0,81;0,841;0,856;0,737
Belo Jardim (PE);(PE);Belo Jardim;260170;0,629;0,617;0,783;0,514
Belo Monte (AL);(AL);Belo Monte;270090;0,517;0,507;0,725;0,376
Belo Oriente (MG);(MG);Belo Oriente;310630;0,686;0,655;0,813;0,606
Belo Vale (MG);(MG);Belo Vale;310640;0,655;0,672;0,814;0,514
Belterra (PA);(PA);Belterra;150145;0,588;0,548;0,775;0,478
Beneditinos (PI);(PI);Beneditinos;220160;0,557;0,561;0,78;0,394
Benedito Leite (MA);(MA);Benedito Leite;210180;0,546;0,531;0,719;0,426
Benedito Novo (SC);(SC);Benedito Novo;420220;0,74;0,723;0,868;0,645
Benevides (PA);(PA);Benevides;150150;0,665;0,623;0,798;0,592
Benjamin Constant (AM);(AM);Benjamin Constant;130060;0,574;0,526;0,763;0,471
Benjamin Constant do Sul (RS);(RS);Benjamin Constant do Sul;#N/D;0,619;0,601;0,801;0,492
Bento de Abreu (SP);(SP);Bento de Abreu;350620;0,744;0,706;0,82;0,712
Bento Fernandes (RN);(RN);Bento Fernandes;#N/D;0,582;0,542;0,737;0,494
Bento Gonçalves (RS);(RS);Bento Gonçalves;#N/D;0,778;0,805;0,842;0,695
Bequimão (MA);(MA);Bequimão;#N/D;0,601;0,51;0,757;0,561
Berilo (MG);(MG);Berilo;310650;0,628;0,58;0,816;0,524
Berizal (MG);(MG);Berizal;310665;0,604;0,56;0,757;0,52
Bernardino Batista (PB);(PB);Bernardino Batista;#N/D;0,558;0,526;0,716;0,462
Bernardino de Campos (SP);(SP);Bernardino de Campos;350630;0,734;0,713;0,838;0,662
Bernardo do Mearim (MA);(MA);Bernardo do Mearim;#N/D;0,604;0,544;0,742;0,547
Bernardo Sayão (TO);(TO);Bernardo Sayão;#N/D;0,638;0,606;0,748;0,573
Bertioga (SP);(SP);Bertioga;350635;0,73;0,727;0,817;0,654
Bertolínia (PI);(PI);Bertolínia;#N/D;0,612;0,596;0,758;0,507
Bertópolis (MG);(MG);Bertópolis;#N/D;0,594;0,576;0,799;0,455
Beruri (AM);(AM);Beruri;130063;0,506;0,512;0,731;0,346
Betânia do Piauí (PI);(PI);Betânia do Piauí;#N/D;0,489;0,486;0,702;0,342
Betânia (PE);(PE);Betânia;#N/D;0,559;0,533;0,742;0,441
Betim (MG);(MG);Betim;310670;0,749;0,709;0,864;0,687
Bezerros (PE);(PE);Bezerros;260190;0,606;0,608;0,752;0,487
Bias Fortes (MG);(MG);Bias Fortes;#N/D;0,62;0,605;0,796;0,495
Bicas (MG);(MG);Bicas;310690;0,744;0,726;0,85;0,667
Biguaçu (SC);(SC);Biguaçu;#N/D;0,739;0,733;0,836;0,659
Bilac (SP);(SP);Bilac;350640;0,768;0,743;0,845;0,722
Biquinhas (MG);(MG);Biquinhas;310700;0,688;0,684;0,857;0,555
Birigui (SP);(SP);Birigui;350650;0,78;0,743;0,869;0,734
Biritiba-Mirim (SP);(SP);Biritiba-Mirim;#N/D;0,712;0,71;0,795;0,64
Biritinga (BA);(BA);Biritinga;#N/D;0,538;0,525;0,738;0,402
Bituruna (PR);(PR);Bituruna;410290;0,667;0,645;0,829;0,556
Blumenau (SC);(SC);Blumenau;420240;0,806;0,812;0,894;0,722
Boa Esperança do Iguaçu (PR);(PR);Boa Esperança do Iguaçu;#N/D;0,7;0,673;0,848;0,602
Boa Esperança do Sul (SP);(SP);Boa Esperança do Sul;#N/D;0,681;0,692;0,811;0,562
Boa Esperança (ES);(ES);Boa Esperança;#N/D;0,679;0,651;0,816;0,59
Boa Esperança (MG);(MG);Boa Esperança;#N/D;0,704;0,694;0,855;0,587
Boa Esperança (PR);(PR);Boa Esperança;#N/D;0,72;0,687;0,808;0,673
Boa Hora (PI);(PI);Boa Hora;#N/D;0,575;0,534;0,772;0,46
Boa Nova (BA);(BA);Boa Nova;290370;0,567;0,535;0,753;0,453
Boa Ventura de São Roque (PR);(PR);Boa Ventura de São Roque;#N/D;0,655;0,635;0,802;0,553
Boa Ventura (PB);(PB);Boa Ventura;250210;0,599;0,566;0,79;0,48
Boa Viagem (CE);(CE);Boa Viagem;230240;0,598;0,553;0,768;0,504
Boa Vista da Aparecida (PR);(PR);Boa Vista da Aparecida;410305;0,67;0,668;0,801;0,563
Boa Vista das Missões (RS);(RS);Boa Vista das Missões;#N/D;0,676;0,666;0,825;0,561
Boa Vista do Buricá (RS);(RS);Boa Vista do Buricá;#N/D;0,762;0,761;0,834;0,697
Boa Vista do Cadeado (RS);(RS);Boa Vista do Cadeado;#N/D;0,703;0,692;0,851;0,59
Boa Vista do Gurupi (MA);(MA);Boa Vista do Gurupi;#N/D;0,545;0,515;0,681;0,461
Boa Vista do Incra (RS);(RS);Boa Vista do Incra;#N/D;0,731;0,703;0,867;0,641
Boa Vista do Ramos (AM);(AM);Boa Vista do Ramos;#N/D;0,565;0,496;0,75;0,484
Boa Vista do Sul (RS);(RS);Boa Vista do Sul;#N/D;0,728;0,77;0,852;0,587
Boa Vista do Tupim (BA);(BA);Boa Vista do Tupim;290380;0,551;0,514;0,729;0,447
Boa Vista (PB);(PB);Boa Vista;250215;0,649;0,59;0,796;0,582
Boa Vista (RR);(RR);Boa Vista;140010;0,752;0,737;0,816;0,708
Boca da Mata (AL);(AL);Boca da Mata;270100;0,604;0,56;0,758;0,518
Boca do Acre (AM);(AM);Boca do Acre;130070;0,588;0,576;0,777;0,455
Bocaina de Minas (MG);(MG);Bocaina de Minas;#N/D;0,645;0,665;0,848;0,476
Bocaina do Sul (SC);(SC);Bocaina do Sul;#N/D;0,647;0,642;0,768;0,549
Bocaina (PI);(PI);Bocaina;#N/D;0,632;0,614;0,773;0,532
Bocaina (SP);(SP);Bocaina;350680;0,742;0,741;0,84;0,656
Bocaiúva do Sul (PR);(PR);Bocaiúva do Sul;#N/D;0,64;0,679;0,816;0,473
Bocaiúva (MG);(MG);Bocaiúva;#N/D;0,7;0,648;0,822;0,644
Bodocó (PE);(PE);Bodocó;#N/D;0,565;0,543;0,745;0,445
Bodoquena (MS);(MS);Bodoquena;500215;0,666;0,665;0,776;0,573
Bodó (RN);(RN);Bodó;#N/D;0,629;0,57;0,772;0,565
